Context,English,short_translation_key,Bahasa Melayu,简体中文,繁體中文,日本語, العربية ,Arabic- Extra,Bahasa Indonesia,Svenska,Tagalog,Español (México),Deutsch,Burmese,Polski,Italiano,हिंदी ,اردو,Tiếng Việt,Português Brasileiro,தமிழ்,Français,Filipino(Ilocano),Filipino (Bikolano),Nederlands
language,English,,Malay,Simplified Chinese,Traditional Chinese,Japanese,Arabic,,,Sweden,,"Spanish, Mexico",German,Myammar,Polish,Italian,Hindi,Urdu,Vietnamese,Portuguese,Tamil,French,,,Dutch
langcode,en,,ms,zh-hans,zh-hant,ja,ar,,id,sv,tl,es-mx,de,my,pl,it,hi,ur,vi,pt-br,,fr,,,nl
Menu,Home,home,Laman Utama,主页,主頁,ホーム,الرئيسية,,Beranda,Hem,Home,Inicio,Start,ပင်မစာမျက်နှာ,Strona główna,Home/Pagina principale,घर,مرکزی صفحہ/پیج/ہوم,Trang chủ,Início,முகப்பு,Accueil,Home/Rugi,Home,
Menu,Travel Alert,travel_alert,Amaran Pelancongan,旅遊警报,旅遊警報,旅行警告、渡航勧告,تحذيرات السفر,,Peringatan Perjalanan,Reseinformation,Abiso para sa Paglalakbay,Alertas de Viaje,Reisewarnung,ခရီးသွား သတိပေးချက်,Ostrzeżenie dla podróżujących,Avvisi per i viaggiatori,यात्रा चेतावनी,سفری الرٹ/انتباہ,Cảnh báo du lịch,Alertas de viagem,"பயண எச்சரிக்கை",Conseils Voyageurs,Abiso ti Panagbyahe,Abiso sa Pagbyahe,
Menu,What is COVID-19,whats_covid,Apa itu COVID-19,什么是 COVID-19,什麼是 COVID-19,COVID-19とは,ما هو كوفيد-19,,Apa itu COVID-19,Vad är COVID-19,Ano ang COVID-19?,¿Qué es COVID-19?,Was ist COVID-19,ကိုရိုနာဗိုင်းရပ်စ်ပိုး ဆိုတာ,Co to COVID-19,Che cos'è il COVID-19,क्या है COVID-19,"
کورونا وائرس کیا ہے؟",COVID-19 là gì?,O que é o COVID-19,COVID-19 என்றால் என்ன?,Qu'est-ce que le COVID-19,Ana ti COVID-19?,Ano an COVID-19,
Menu,Prevention,prevention,Pencegahan,预防手册,預防手冊,予防(法),الوقاية,,Pencegahan,Förebyggande,Iwasan ang COVID-19,Prevención,Prävention,ကာကွယ်မှု,Zapobieganie,Prevenzione,निवारण,روک تھام/احتیاط,Cách phòng ngừa,Prevenção,முன்னெச்சரிக்கை,Prévention,Prebention,Paglikay sa COVID-19,
Menu,Analytics,analytics,Analisis,数据分析,數據分析,データ分析,إحصائيات,,Analitik,Analys,Pagsusuri,Análisis,Analysen,ခွဲခြမ်းစိတ်ဖြာခြင်း,Analiza,Analisi,वैश्लेषिकी,تجزیات,Phân tích,Estatísticas,பகுப்பாய்வு,Analyse,Analays,Pagsusuri,
Menu,About,about,Mengenai Kami,关与我们,關於我們,組織概要,من نحن,,Tentang,Om,Tungkol sa CoronaTracker,Quiénes somos,Über uns,အကြောင်းအရာ,O nas,Chi siamo,विषय में,بمتعلق,Giới thiệu,Sobre,எங்களை பற்றி,À propos,Panggep,An Corona Tracker,
Menu,Blog,blog,,,,,,,,Blogg,Blog,,Blog,,Blog,,,,,Blog,,Blog,,,
Home,Live,live,Secara Lansung,时事更新,時事更新,ライブ配信,يحدث الآن,,Langsung,Live,Live,En Vivo,Live,တိုက်ရိုက်သတင်း,Na żywo,In diretta,लाइव,براہ راست,,Ao Vivo,நேரலை,Live,Live,Live,
Home,Stats Overview,stats_overview,Gambaran Statistik,数据统计,數據統計,予約統計量,نظرة عامة,,Statistik Secara Umum,"
Statistisk översikt",Overview ng Stats,Estadísticas Generales,Übersicht der Fallzahlen,စာရင်း အနှစ်ချုပ်,Dane statystyczne,Statistiche generali /Panoramica generale,आंकड़ों का अवलोकन , اعدادوشمار کا جائزہ,Biểu đồ tổng quan,Estatísticas Gerais,புள்ளிவிவர கண்ணோட்டம்,Bilan,,Overview kan Stats,
Home,Global,global,Global,全球,全球,全世界,عالميا,"For ""Confirmed"", ""Recovered"", ""Deaths"" in the side bar. Because, they can't be translated as the ones in the Stats Overflow section  ⬇⬇⬇",,Globalt,Buong Mundo,Global,Weltweit,ကမ္ဘာလုံးဆိုင်ရာ,Ze świata (globalne),Nel mondo,वैश्विक,عالمی,Thế giới,Mundial,குளோபல்,Global,Lubong,Bilog na Kinab-an,
Home,Confirmed,confirmed,Disahkan,确诊,確診,感染者数,مصاب,المصابين,Terkonfirmasi,Bekräftade,Kumpirmado,Confirmados,Bestätigt,အတည်ပြုပြီး,Potwierdzone,Confermati,बीमार,تصدیق شدہ,Nhiễm bệnh,Confirmados,உறுதியானது,Confirmés,Kumpirmado,Kumpirmado,
Home,Recovered,recovered,Pulih,治愈,治癒,完治者数,متعافى,المتعافيين,Sembuh,Tillfrisknade,Gumaling,Recuperados,Genesen,ကုသပြီး,Wyleczeni,Guariti,स्वस्थ,صحتیاب,Khỏi bệnh,Curados,குணமானவர்கள்,Rétablis,Nakalasat,Nagrahay,
Home,Deaths,deaths,Kematian,死亡,死亡,死亡者数,متوفي,المتوفيين,Meninggal,Antalet döda,Namatay,Decesos,Todesfälle,သေဆုံး,Zgony,Morti,लोगों की मृत्यु,اموات,Tử vong,Mortes,இறந்தவர்கள் ,Décès,Natay,Nagadan,
Home,more details,more details,lebih lanjut,查看更多,查看更多,詳細,تفاصيل أكثر,,lebih detil,mer detaljer,karagdagang detalye,más detalles,Weitere Details,အသေးစိတ်,więcej ,Maggiori dettagli,अधिक जानकारी,  مزید تفصیلات,Chi tiết,mais detalhes,மேலும் படிக்க,plus de détails,Nayon nga impormasiyon,Dagdag na Detalye,
Home,Search,search,Carian,搜索,搜索,検索,بحث,,Cari,Sök,Hanapin,Buscar,Suche,ရှာဖွေရန်,Szukaj,Cerca,खोज,تلاش,Tìm kiếm,Buscar,தேடு ,Rechercher,Biruken,Hanapon,
Home,Verified News,verified_news,Berita yang disahkan,已确认新闻,已確認新聞,認定されたニュース,أخبار موثقة,,Berita yang disetujui,Verifierade nyheter,Mga Balita,Noticias Verificadas,Verifizierte Nachrichten,အတည်ပြုပြီး သတင်းများ,Zweryfikowane Wiadomości,Notizie verificate,सत्यापित समाचार,تصدیق شدہ نيوز,Tin tức,Notícias Verificadas,சரிபார்க்கப்பட்ட செய்திகள்,Informations Vérifiées,Pudno nga damag,Mga Bareta,
Home,Clear All,clear_all,Padam semua,清除,清除,削除,إلغاء,,Hapus Semua,Återställ,Burahin Lahat,Borrar filtros,Alles löschen,ရှင်းလင်းရန်,Usuń wszystko,Cancella tutto,साफ करें,سب کچھ صاف کریں,Xoá,Limpar Tudo,"அனைத்தையும் அழி
",Effacer les Filtres,Ikkaten Amin,Buraon Gabos,
