English,Bahasa Melayu,简体中文,繁體中文,日本語,Arabic - العربية - AR,Arabic- Extra,Bahasa Indonesia,Dutch,Svenska,Filipino (Tagalog),Español (México),German/ Deutsch,Myanmar,Polish/Polski,Italian/Italiano,Hindi
Menu,,,,,,,Already Live,,,,,,,,Menu,
Home,Laman Utama,主页,主頁,ホーム,الرئيسية,,,,Hem,Home,Inicio,Start,,Strona główna,Home/Pagina principale,घर
Travel Alert,Amaran Pelancongan,旅遊警报,旅遊警報,旅行警告、渡航勧告,تحذيرات السفر,,,,Reseinformation,Abiso para sa Paglalakbay,Alertas de Viaje,Reisewarnung,,Ostrzeżenie dla podróżujących,Avvisi per i viaggiatori,यात्रा की चेतावनी 
What is COVID-19,Apa itu COVID-19,什么是 COVID-19,什麼是 COVID-19,COVID-19とは,ما هو كوفيد-19,,,,Vad är COVID-19,Ano ang COVID-19?,¿Qué es COVID-19?,Was ist COVID-19,,Co to COVID-19,Che cos'è il COVID-19,क्या है COVID-19
Prevention,Pencegahan,预防手册,預防手冊,予防(法),الوقاية,,,,Förebyggande,Iwasan ang COVID-19,Prevención,Prävention,,Prewencja,Prevenzione,निवारण
Analytics,Analisis,数据分析,數據分析,データ分析,إحصائيات,,,,Analys,Pagsusuri,Análisis,Analyse,,Analiza,Analisi,-
About,Mengenai Kami,关与我们,關於我們,組織概要,من نحن,,,,Om,Tungkol sa CoronaTracker,Quiénes somos,Über uns,,O nas,Chi siamo,-
,,,,,,,,,,,,,,,,
Home - https://www.coronatracker.com/,,,,,,,,,,,,,,,,
Live,Secara Lansung,时事更新,時事更新,ライブ配信,حي,,,,Live,Live,En Vivo,Live,,Na żywo,In diretta,लाइव
Stats Overview,Gambaran Statistik,数据统计,數據統計,予約統計量,نظرة عامة,,,,"
Statistisk översikt",Overview ng Stats,Estadísticas Generales,Übersicht der Fallzahlen,,Dane statystyczne,Statistiche generali /Panoramica generale,
Global,Global,全球,全球,全世界,عالميا,"For ""Confirmed"", ""Recovered"", ""Deaths"" in the side bar. Because, they can't be translated as the ones in the Stats Overflow section  ⬇⬇⬇",,,Globalt,Buong Mundo,Global,Weltweit,,Ze świata (globalne),Nel mondo,
Confirmed,Disahkan,确诊,確診,感染者数,مصاب,المصابين,,,Bekräftade,Kumpirmado,Confirmados,Bestätigt,,Potwierdzone,Confermati,
Recovered,Pulih,治愈,治癒,完治者数,متعافى,المتعافيين,,,Tillfrisknade,Gumaling,Recuperados,Genesen,,Wyleczeni,Guariti,
Deaths,Kematian,死亡,死亡,死亡者数,متوفي,المتوفيين,,,Antalet döda,Namatay,Decesos,Todesfälle,,Zgony,Morti,
more details,lebih lanjut,查看更多,查看更多,詳細,تفاصيل اكثر,,,,mer detaljer,karagdagang detalye,más detalles,Weitere Details,,więcej ,Maggiori dettagli,
Search,Carian,搜索,搜索,検索,بحث,,,,Sök,Hanapin,Buscar,Suche,,Szukaj,Cerca,
Verified News,Berita yang disahkan,已确认新闻,已確認新聞,認定されたニュース,أخبار موثوقة,,,,Verifierade nyheter,Mga Balita,Noticias Verificadas,Verifizierte Nachrichten,,Zweryfikowane Wiadomości,Notizie verificate,
Clear All,Padam semua,清除,清除,削除,إخلاء الكل,,,,Återställ,Burahin Lahat,Borrar filtros,Alles löschen,,Usuń wszystko,Cancella tutto,
No result,,,,,,,,,,,,,,,,
Prev,Sebelum,上一页,上一頁,前,السابق,,,,Föregående,Nauna,Anterior,"Neueste (Note: I did not translate the original word, because it is not common) 
""Neueste"" means ""Most recent news""; ""Prev"" means ""Vorige""",,Poprzedni,Precedente,
Next,Selepas,下一页,下一頁,次,التالي,,,,Nästa,Susunod,Siguiente,"Älteste (Note: I did not translate the original word) 
""Älteste"" means ""Oldest news"", ""Next"" means ""Nächste""",,Następny,Successivo,
Countries Affected,Negara yang terkesan,受影响国家,受影響國家,被災国,الدول المتأثرة,,,,Drabbade länder,Apektadong mga Bansa,Países Afectados,Betroffene Länder,,Kraje zainfekowane,Stati colpiti,
Source,Sumber,资料来源,資料來源,情報源,المصدر,,,,Källa,Pinagmulan,Fuente,Quelle,,źródło,Fonte,
and various international media,dan pelbagai media antarabangsa,以及其他国际媒体,以及其他國際媒體,と様々な国際媒体,و وكالات أنباء عالمية,,,,och diverse internationell media,at iba pang media mula sa iba't ibang bansa,y diversos medios internacionales,und verschiedene internationale Medien,,,e diversi media internazionali,
Country,Negara,国家,國家,国,الدولة,,,,Land,Bansa,País,Land,,,Stato,
